[2018-11-30 02:05:31] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:31] ::1 root created dir ./Rack1_Usb4/cours réseau altieri (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:32] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:43] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:43] ::1 root created file ./Rack1_Usb4/cours réseau altieri/test.txt (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:45] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:46] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:47] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:05:48] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:14:27] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
